中国〈乱・戦争〉,,
前209-208　中国史上最初の農民反乱,陳勝･呉広の乱,いつの王朝の時代？
前154　諸侯らによる反乱　その後郡県制へ移行,呉楚七国の乱,いつの王朝の時代？
18-27　農民反乱　その後新が滅亡,赤眉の乱,
166･169　宦官による儒教官僚への弾圧事件,党錮の禁,いつの王朝の時代？
184 太平道の張角が指導　その後王朝が滅亡,黄巾の乱,いつの王朝の時代？
290-306　一族諸王による反乱　その後五胡の侵入を招く,八王の乱,いつの王朝の時代？
755-763　節度使らの反乱　ウイグルの援助で鎮圧,安史の乱,いつの王朝の時代？
875-884　塩の密売人の反乱　その後王朝が滅亡,黄巣の乱,いつの王朝の時代？
1115-1234　皇帝を連行し王朝が滅亡,靖康の変,いつの王朝の時代？
1351-1366　白蓮教を中心とした農民反乱　その後王朝が滅亡,紅巾の乱,いつの王朝の時代？
1399-1402　建文帝に対しての反乱　その後新皇帝が即位,靖難の役,いつの王朝の時代？　新皇帝の名前は？
1449　エセンが明軍を破り皇帝を捕らえた,土木の変,いつの王朝の時代？　捕らえられた皇帝の名前は？
1631-1644　農民反乱　その後明王朝が滅亡,李自成の乱,
1673-1681　呉三桂ら藩王の反乱,三藩の乱,いつの王朝の時代？
1796-1804　宗教結社を中心とする農民反乱,白蓮教徒の乱,いつの王朝の時代？
1840-1842　密貿易に対する処置に対する英の強硬政策で勃発,アヘン戦争,講和条約の名前と内容は？
1856-1860　広州にてフランス人宣教師殺害事件が発生したことに対し出兵,アロー戦争（第二次アヘン戦争）,講和条約の名前と内容は？
1851-1864　拝上帝会が中心となった農民反乱　「滅満興漢」をスローガン,太平天国の乱,中心となった人物は誰？　政策の内容は？　結果はどうなった？
1884-1885　ベトナムの宗主権を放棄　仏のベトナム保護権を承認した,清仏戦争,講和条約の名前と内容は？
1894-1895　甲午農民戦争に対する出兵が原因で勃発,日清戦争,講和条約の名前と内容は？
1898　西太后･袁世凱らによる反乱　光緒帝が幽閉された,戊戌の政変,
1900-1901　キリスト教排斥運動が高まり勃発　「扶清滅洋」がスローガン,義和団事件,結果はどうなった？
1911-1912　清朝に対する反対運動　新しい国家が成立,辛亥革命,3段階の革命を正しく説明できる？
