古代インド〈まとめ〉,,
クシャーナ朝最盛期の王,カニシカ王,
チャンドラグプタ2世治下のグプタ朝に来朝した僧,法顕,この時の中国の王朝は？法顕の著書名は？
グプタ様式の代表的例を1つ,アジャンター石窟寺院,グプタ様式とはどのようなもの？
ヴェーダを祭典とした祭式重視の宗教,バラモン教,最古のヴェーダの名前は？
第4回仏典結集した王,カニシカ王,王朝名は？
サンスクリット文学が発展した時の王朝,グプタ朝,3つの有名な詩の名前は？
バラモン教の祭式万能主義を批判した新宗教,ウパニシャッド哲学,
ラージプート時代に来印した僧,義浄,この時の中国の王朝は？義浄の著書名は？
ヴァルダナ朝の最初の王,ハルシャ王,
マウリヤ朝の初代の王,チャンドラグプタ王,
のちのカースト制度につながる階級身分制度,ヴァルナ（種姓）,
グプタ朝の全盛期・最大版図の時の王,チャンドラグプタ2世,
玄奘･義浄が学んだ仏教学の研究機関,ナーランダー僧院,玄奘･義浄は何をした人？
マウリヤ朝の最盛期の時の王,アショーカ王,
大乗仏教を大成させた人の名前,ナーガールジュナ（竜樹）,この時のインドの王朝は？
ヴァルダナ朝に来朝した僧,玄奘,この時の中国の王朝は？玄奘の著書名は？
インダス川中~下流域に栄えた文明,インダス文明,有名な2つの遺跡の名前は？
ダルマによる統治　磨崖碑に刻んだ,アショーカ王,
禁欲･苦行･不殺生を説いたヴァルナ制否定の宗教,ジャイナ教,創始者は誰？
第3回仏典結集　スリランカ(セイロン島)に仏教を布教した王,アショーカ王,
